set,batch,rack_position,run_order,tube_sample,genotype,wormgrowth_sample_name,Solvent,parameters
2,3,B9,67,nmr61,VC1265,aos98_ga_ms2,D2O,noesypr1d
2,3,B10,68,nmr62,PD1074,aos99_ga_ms2,D2O,noesypr1d
2,3,B11,69,solvent_blank,solvent_d20,solvent_d20,D2O,noesypr1d
2,4,B12,70,nmr65,VC1265,aos73_ga_ms2,D2O,noesypr1d
2,4,C1,71,nmr66,RB2550,aos81_ga_ms2,D2O,noesypr1d
2,4,C2,72,nmr67,PD1074,aos87_co_ms3,D2O,noesypr1d
2,4,C3,73,nmr68,KJ550,aos100_ga_ms2,D2O,noesypr1d
2,4,C4,74,nmr69,RB2550,aos96_ga_ms2,D2O,noesypr1d
2,4,C5,75,nmr70,RB2347,aos82_ga_ms2,D2O,noesypr1d
2,4,C6,76,nmr71,VC1265,aos84_ga_ms2,D2O,noesypr1d
2,4,C7,77,nmr72,PD1074,aos92_ga_ms2,D2O,noesypr1d
2,4,C8,78,nmr73,VC1265,aos93_ga_ms2,D2O,noesypr1d
2,4,C9,79,nmr74,RB2347,aos95_ga_ms2,D2O,noesypr1d
2,4,C10,80,nmr75,PD1074,aos107_ga_bku,D2O,noesypr1d
2,4,C11,81,nmr76,KJ550,aos109_ga_ms2,D2O,noesypr1d
2,4,C12,82,nmr77,RB2550,aos111_ga_ms2,D2O,noesypr1d
2,4,D1,83,nmr78,RB2347,aos116_ga_ms2,D2O,noesypr1d
2,4,D2,84,nmr79,PD1074,aos113_ga_ms1,D2O,noesypr1d
2,4,D3,85,nmr80,VC1265,aos125_ga_ms2,D2O,noesypr1d
2,4,D4,86,nmr81,KJ550,aos134_ga_ms2,D2O,noesypr1d
2,4,D5,87,nmr82,PD1074,aos140_ga_ms3,D2O,noesypr1d
2,4,D6,88,nmr83,RB2347,aos171_ga_ms2,D2O,noesypr1d
2,4,D7,89,nmr84,PD1074,aos180_ga_ms2,D2O,noesypr1d
2,4,D8,90,pooled_mutant,pooled_mutant,pooled_mutant,D2O,noesypr1d
2,4,D9,91,pooled_pd1074,pooled_pd1074,pooled_pd1074,D2O,noesypr1d
2,4,D10,92,nmr64,solera,solera,D2O,noesypr1d
2,4,D11,93,nmr63,extraction_blank_d20,extraction_blank_d20,D2O,noesypr1d
2,4,D12,94,solvent_blank,solvent_d20,solvent_d20,D2O,noesypr1d
2,3,A1,47,solvent_blank,solvent_cdcl3,solvent_cdcl3,CDCl3,proton
2,3,A2,48,nmr42,extraction_blank_cdcl3,extraction_blank_cdcl3,CDCl3,proton
2,3,A3,49,nmr43,solera,solera,CDCl3,proton
2,3,A4,50,nmr44,VC1265,aos184_ga_ms2,CDCl3,proton
2,3,A5,51,nmr45,PD1074,aos185_ga_ms2,CDCl3,proton
2,3,A6,52,nmr46,PD1074,aos27_ga_ms4,CDCl3,proton
2,3,A7,53,nmr47,KJ550,aos28_ga_ms2,CDCl3,proton
2,3,A8,54,nmr48,RB2550,aos35_ga_ms2,CDCl3,proton
2,3,A9,55,nmr49,RB2347,aos36_ga_ms2,CDCl3,proton
2,3,A10,56,nmr50,RB2347,aos37_ga_ms2,CDCl3,proton
2,3,A11,57,nmr51,PD1074,aos38_ga_ms2,CDCl3,proton
2,3,A12,58,nmr52,RB2550,aos40_ga_ms2,CDCl3,proton
2,3,B1,59,nmr53,VC1265,aos42_ga_ms2,CDCl3,proton
2,3,B2,60,nmr54,PD1074,aos43_ga_bku,CDCl3,proton
2,3,B3,61,nmr55,PD1074,aos54_ga_bku2,CDCl3,proton
2,3,B4,62,nmr56,RB2550,aos71_ga_ms2,CDCl3,proton
2,3,B5,63,nmr57,RB2347,aos74_ga_ms2,CDCl3,proton
2,3,B6,64,nmr58,PD1074,aos69_ga_ms1,CDCl3,proton
2,3,B7,65,nmr59,KJ550,aos86_ga_ms2,CDCl3,proton
2,3,B8,66,nmr60,PD1074,aos90_ga_ms3,CDCl3,proton
2,3,B9,67,nmr61,VC1265,aos98_ga_ms2,CDCl3,proton
2,3,B10,68,nmr62,PD1074,aos99_ga_ms2,CDCl3,proton
2,3,B11,69,solvent_blank,solvent_cdcl3,solvent_cdcl3,CDCl3,proton
2,4,B12,70,nmr65,VC1265,aos73_ga_ms2,CDCl3,proton
2,4,C1,71,nmr66,RB2550,aos81_ga_ms2,CDCl3,proton
2,4,C2,72,nmr67,PD1074,aos87_co_ms3,CDCl3,proton
2,4,C3,73,nmr68,KJ550,aos100_ga_ms2,CDCl3,proton
2,4,C4,74,nmr69,RB2550,aos96_ga_ms2,CDCl3,proton
2,4,C5,75,nmr70,RB2347,aos82_ga_ms2,CDCl3,proton
2,4,C6,76,nmr71,VC1265,aos84_ga_ms2,CDCl3,proton
2,4,C7,77,nmr72,PD1074,aos92_ga_ms2,CDCl3,proton
2,4,C8,78,nmr73,VC1265,aos93_ga_ms2,CDCl3,proton
2,4,C9,79,nmr74,RB2347,aos95_ga_ms2,CDCl3,proton
2,4,C10,80,nmr75,PD1074,aos107_ga_bku,CDCl3,proton
2,4,C11,81,nmr76,KJ550,aos109_ga_ms2,CDCl3,proton
2,4,C12,82,nmr77,RB2550,aos111_ga_ms2,CDCl3,proton
