UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_3263,311,C43H74NO10P,[M - H]-,C43H74NO10P,1,5.961459578,5.961459578,0,3,0.262755798,-5.272508859,5.272508859,0.304914664,794.498,221.15,650_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime221.15scanNumNApre,650,1
met_3341,830,C36H41F2N7O3,[M - H]-,C36H41F2N7O3,0.716582915,7.438389866,7.438389866,0,4,0.216548463,0.905365812,3.120378378,2.867266564,656.3185,98.82,2259_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime98.82scanNumNAprec,2259,2
met_3360,865,C14H18N4O2,[M - H]-,C14H18N4O2,0.643718593,13.88228122,13.88228122,0,3,0.152928012,-5.343572452,5.343572452,-4.024989545,273.1346,50.4,182_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime50.4scanNumNAprecM,182,4
met_3380,84,C46H88NO10P,[M - H]-,C46H88NO10P,1,36.10982763,36.10982763,0,13,0.929415682,-2.739383395,2.739383395,1.529473049,844.6086,322.15,1027_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime322.15scanNumNApre,1027,2
met_3434,649,C41H83NO5,[M - H]-,C41H83NO5,0.94321608,2.483305204,2.483305204,0,2,0.073863636,4.326823441,4.326823441,1.423371948,668.6208,418.52,24_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime418.52scanNumNApre,24,2
met_3436,729,C48H85N3O5,[M - H]-,C48H85N3O5,0.836180905,1,1,0,1,0,NaN,NaN,-4.914620671,782.6378,247.47,571_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime247.47scanNumNApre,571,2
met_3438,188,C42H85N2O6P,[M - H]-,C42H85N2O6P,1,19.60113185,19.60113185,0,6,0.66795936,-4.534645371,4.534645371,4.775861365,743.6108,393.44,330_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime393.44scanNumNApre,330,3
met_3439,630,C45H91NO7,[M - H]-,C45H91NO7,0.955778894,1.754922614,1.754922614,0,2,0.176257545,-4.566241589,4.566241589,1.747384989,756.6736,427.33,412_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime427.33scanNumNApre,412,1
met_3493,121,C41H76NO8P,[M - H]-,C41H76NO8P,1,30.24148012,30.24148012,0,13,1,-2.850999621,2.850999621,2.189567743,740.5252,267.77,314_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime267.77scanNumNApre,314,3
met_3509,632,C45H91NO5,[M - H]-,C45H91NO5,0.954271357,1,1,0,1,0,NaN,NaN,1.174913359,724.6833,437.44,241_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime437.44scanNumNApre,241,3
met_3510,829,C53H62O6,[M - H]-,C53H62O6,0.717085427,6,6,0,1,0,NaN,NaN,0.550443382,793.4478,125.22,642_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime125.22scanNumNApre,642,3
met_3511,1115,C48H74N2O5,[M - H]-,C48H74N2O5,0.336683417,1,1,0,1,0,NaN,NaN,0.135943155,757.5526,290.33,413_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime290.33scanNumNApre,413,3
met_3512,1142,C37H48NO9P,[M - H]-,C37H48NO9P,0.31758794,4.728174011,4.728174011,0,3,0.233079123,-1.793392747,3.957341301,4.127145393,680.3022,74.21,58_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime74.21scanNumNAprec,58,1
met_3514,320,C46H87N2O8P,[M - H]-,C46H87N2O8P,1,5.533742674,5.533742674,0,3,0.537032893,-4.724910273,4.724910273,2.994225506,825.6152,402.03,875_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime402.03scanNumNApre,875,1
met_3574,340,C46H93NO5,[M - H]-,C46H93NO5,1,1,1,0,1,0,NaN,NaN,2.30320367,738.6998,461.7,308_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime461.7scanNumNAprec,308,2
met_3575,988,C56H72O4,[M - H]-,C56H72O4,0.479396985,6,6,0,1,0,NaN,NaN,4.725053843,807.5396,186.29,748_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime186.29scanNumNApre,748,2
met_3577,336,C43H87NO5,[M - H]-,C43H87NO5,1,2.21681618,2.21681618,0,3,0.159600998,-5.477909587,5.477909587,0.791741541,696.6517,420.66,126_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime420.66scanNumNApre,126,1
met_3586,1388,C15H24F2O7,[M - H]-,C15H24F2O7,0.111557789,-0.609437912,-0.609437912,0,1,0,NaN,NaN,3.304339661,353.1429,141.96,606_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime141.96scanNumNApre,606,4
met_3616,1259,C45H69N3O6,[M - H]-,C45H69N3O6,0.235175879,1,1,0,1,0,NaN,NaN,3.803710754,746.5142,270.18,345_fused_mgf_0243e44ef51142f929ecfaca1c436118_msLevel2retentionTime270.18scanNumNApre,345,3
