UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_3493,1777,C38H69N3O9,[M + H]+,C38H69N3O9,0.489447236,107.8900362,107.8900362,0,15,0.635794108,-1.813173217,1.813173217,4.831848113,712.5141,210.72,1575_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime210.72scanNumNApre,1575,1
met_3521,239,C44H89NO5,[M + H]+,C44H89NO5,1,79.57682537,79.57682537,0,13,0.47791402,-2.034195502,2.034195502,3.716373469,712.684,430.54,1581_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime430.54scanNumNApre,1581,5
met_3524,191,C42H85NO4,[M + H]+,C42H85NO4,1,87.25326757,87.25326757,0,12,0.685749419,-2.558402462,2.558402462,1.590276004,668.6562,505.96,1301_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime505.96scanNumNApre,1301,1
met_3525,1686,C45H72O3,[M + K]+,C45H72O3,0.508040201,6,6,0,1,0,NaN,NaN,-4.437780845,699.5082,196.29,1487_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime196.29scanNumNApre,1487,3
met_3528,1961,C53H92O4,[M + K]+,C53H92O4,0.333668342,6,6,0,1,0,NaN,NaN,-2.187819688,831.6609,318.58,2920_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime318.58scanNumNApre,2920,2
met_3539,1603,C41H72O11,[M + H]+,C41H72O11,0.569346734,63.6927711,63.6927711,0,13,0.359799833,-3.176577091,3.176577091,4.127242676,741.5178,235.85,1819_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime235.85scanNumNApre,1819,1
met_3644,162,C43H85NO4,[M + H]+,C43H85NO4,1,93.6156504,93.6156504,0,13,0.637275284,-2.196538802,2.196538802,1.415322524,680.6561,475.4,1373_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime475.4scanNumNAprec,1373,3
met_3648,10,C46H69NO5,[M + H]+,C46H69NO5,1,181.1711245,181.1711245,0,48,0.974522293,-2.17313338,2.17313338,-1.745595107,716.5236,260.11,1613_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime260.11scanNumNApre,1613,4
met_3651,753,C47H84NO8P,[M + H]+,C47H84NO8P,0.994472362,30.56494146,30.56494146,0,7,0.847016535,-2.1982388,2.1982388,1.420212997,822.6019,276.4,2809_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime276.4scanNumNAprec,2809,3
met_3661,2256,C42H73N3O6,[M + H]+,C42H73N3O6,0,145.6684241,145.6684241,0,35,0.885500541,-2.342645166,2.402163761,4.167817176,716.5602,367.77,1614_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime367.77scanNumNApre,1614,1
met_3664,708,C46H86NO8P,[M + H]+,C46H86NO8P,0.996984925,16.31658772,16.31658772,0,5,0.538651246,-2.515829791,2.515829791,0.637700138,812.6169,303.14,2698_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime303.14scanNumNApre,2698,2
met_3665,113,C50H87NO6,[M + K]+,C50H87NO6,1,106.124038,106.124038,0,17,0.469004693,-2.670066007,2.670066007,0.241921909,836.6167,399.61,2980_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime399.61scanNumNApre,2980,2
met_3672,1958,C50H80O6,[M + H]+,C50H80O6,0.334673367,6,6,0,1,0,NaN,NaN,-1.500423984,777.6016,423.19,2244_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime423.19scanNumNApre,2244,1
met_3683,62,C45H67NO5,[M + H]+,C45H67NO5,1,129.9451462,129.9451462,0,33,0.949182017,-2.547917119,2.547917119,-1.139767283,702.5084,239.08,1511_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime239.08scanNumNApre,1511,2
met_3703,2086,C42H63N7O3,[M + Na]+,C42H63N7O3,0.234170854,7.937785069,7.937785069,0,3,0.247267245,-0.586426608,1.503354617,4.807145101,736.492,168.5,1773_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime168.5scanNumNAprec,1773,2
met_3708,1830,C44H74NO8P,[M + H]+,C44H74NO8P,0.450251256,5.97789599,5.97789599,0,3,0.207650273,-1.021819891,1.021819891,-2.036532553,776.5209,276.51,2223_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime276.51scanNumNApre,2223,5
met_3709,118,C44H79NO6,[M + H]+,C44H79NO6,1,103.705443,103.705443,0,19,0.739423336,-1.783988132,1.783988132,2.62218226,718.5999,400.33,1633_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime400.33scanNumNApre,1633,2
met_3714,2048,C40H77N7O2,[M + H]+,C40H77N7O2,0.262311558,1,1,0,1,0,NaN,NaN,4.863091437,688.6245,438.1,1431_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime438.1scanNumNAprec,1431,3
met_3716,567,C48H85NO6,[M + K]+,C48H85NO6,1,5.206215292,5.206215292,0,4,0.162927166,-2.179705741,2.179705741,0.928273408,810.6016,388.29,2674_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime388.29scanNumNApre,2674,2
met_3718,1664,C52H96O6,[M + Na]+,C52H96O6,0.517085427,6,6,0,1,0,NaN,NaN,3.082612096,839.7125,506.4,3025_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime506.4scanNumNAprec,3025,2
met_3723,2115,C41H81NO4,[M + Na]+,C41H81NO4,0.208040201,1,1,0,1,0,NaN,NaN,2.548486208,674.6075,414.28,1326_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime414.28scanNumNApre,1326,1
met_3724,2116,C42H85N3O,[M + K]+,C42H85N3O,0.207537688,1,1,0,1,0,NaN,NaN,-2.945456669,686.6304,351.88,1416_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime351.88scanNumNApre,1416,2
met_3729,691,C53H79NO4,[M + H]+,C53H79NO4,0.997487437,76.14262629,76.14262629,0,12,0.410057374,-1.620847568,1.620847568,0.64628025,794.6087,414.99,2469_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime414.99scanNumNApre,2469,1
met_3738,109,C39H72O4,[M + H]+,C39H72O4,1,106.9578392,106.9578392,0,22,0.850484024,-3.096355694,3.096355694,1.094480745,605.551,357.68,4192_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime357.68scanNumNApre,4192,2
met_3741,477,C38H74O4,[M + H]+,C38H74O4,1,22.71539117,22.71539117,0,5,0.139194715,-3.86139659,3.86139659,0.525046346,595.5663,442.18,3969_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime442.18scanNumNApre,3969,1
met_3758,2133,C53H75N5,[M + H]+,C53H75N5,0.189447236,1,1,0,1,0,NaN,NaN,-2.969372235,782.6072,360.95,2308_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime360.95scanNumNApre,2308,6
met_3767,1186,C37H70NO8P,[M + H]+,C37H70NO8P,0.898492462,11.71922914,11.71922914,0,5,0.23998835,-3.102124811,3.578991981,1.624880786,688.4923,179.57,1425_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime179.57scanNumNApre,1425,1
met_3769,256,C22H45NO3,[M + H]+,C22H45NO3,1,75.66887756,75.66887756,0,28,0.936138232,-4.274438687,4.274438687,1.287097811,372.3477,121.48,1518_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime121.48scanNumNApre,1518,1
met_3788,296,C35H70O,[M + H]+,C35H70O,1,67.15479991,67.15479991,0,8,0.588881564,-2.558402462,2.558402462,1.096812848,507.5505,413.16,2647_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime413.16scanNumNApre,2647,1
met_3810,280,C42H80O4,[M + H]+,C42H80O4,1,71.48633119,71.48633119,0,10,0.632636259,-2.077955494,2.077955494,1.635598847,649.614,461.71,617_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime461.71scanNumNApre,617,1
met_3821,184,C38H70O4,[M + H]+,C38H70O4,1,88.65781242,88.65781242,0,21,0.712681913,-2.059977717,2.097816311,1.881252004,591.5358,550.43,3837_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime550.43scanNumNApre,3837,2
met_3828,1391,C28H24Br4N2O7,[M + Na]+,C28H24Br4N2O7,0.765829146,10.49698672,10.49698672,0,5,0.219690456,-0.467993522,4.206726718,3.552345027,838.8239,575.49,3016_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime575.49scanNumNApre,3016,1
met_387,1262,C51H84N2O4,[M + H]+,C51H84N2O4,0.855778894,85.92373763,85.92373763,0,13,0.607820137,-2.912072716,2.912072716,0.018210476,789.6504,404.86,2408_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime404.86scanNumNApre,2408,2
met_3870,202,C48H75NO4,[M + H]+,C48H75NO4,1,85.80198711,85.80198711,0,20,0.869016307,-2.65520942,2.65520942,-2.034467751,730.5754,339.03,1738_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime339.03scanNumNApre,1738,2
met_3873,1260,C45H88NO7P,[M + H]+,C45H88NO7P,0.85678392,56.86503131,56.86503131,0,13,0.773313566,-2.590548831,2.590548831,2.266302759,786.6389,386.22,2368_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime386.22scanNumNApre,2368,4
met_389,1642,C41H81N5O3,[M + K]+,C41H81N5O3,0.531155779,7.412351522,7.412351522,0,4,0.217687075,-3.003913006,3.003913006,2.874966068,730.5992,403.25,1739_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime403.25scanNumNApre,1739,3
met_390,2028,C42H77NO5,[M + H]+,C42H77NO5,0.281407035,1,1,0,1,0,NaN,NaN,1.846001728,676.5887,396.35,1342_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime396.35scanNumNApre,1342,2
met_3907,504,C41H72O4,[M + H]+,C41H72O4,1,15.66018372,15.66018372,0,4,0.139195149,-5.540012521,5.540012521,3.594241227,629.5526,396.32,5039_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime396.32scanNumNApre,5039,2
met_391,1105,C41H72NO9P,[M + H]+,C41H72NO9P,0.939698492,18.54687219,18.54687219,0,5,0.586535641,-1.758855286,1.758855286,2.192215316,754.5034,154.28,1966_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime154.28scanNumNApre,1966,4
met_393,2023,C44H75Cl2N3O4,[M + H]+,C44H75Cl2N3O4,0.286934673,22.41342779,22.41342779,0,7,0.518112192,-2.662550902,2.662550902,-3.766335746,780.5178,161.53,2278_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime161.53scanNumNApre,2278,4
met_3951,131,C49H89NO6,[M + H]+,C49H89NO6,1,101.7210581,101.7210581,0,18,0.620060088,-1.857171627,1.857171627,1.311030392,788.6773,437.25,2398_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime437.25scanNumNApre,2398,4
met_3953,649,C44H86NO7P,[M + H]+,C44H86NO7P,0.998492462,81.54295422,81.54295422,0,31,0.929823808,-1.893674641,1.893674641,3.407641451,772.6241,365.19,2184_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime365.19scanNumNApre,2184,1
met_3954,606,C46H88NO8P,[M + H]+,C46H88NO8P,0.999497487,38.02008483,38.02008483,0,8,0.918774505,-2.573787019,2.573787019,2.293228786,814.6339,328.13,2723_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime328.13scanNumNApre,2723,4
met_3964,863,C27H69B6N7O6,[M + K]+,C27H69B6N7O6,0.985929648,9.907008984,9.907008984,0,5,0.269096355,2.007000924,2.007000924,0.417977881,686.572,353.91,1412_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime353.91scanNumNApre,1412,1
met_3967,713,C16H24Br6O4,[M + H]+,C16H24Br6O4,0.996482412,3.848514929,3.848514929,0,4,0.145799807,-3.932975915,3.932975915,4.427921825,754.6881,449.45,1979_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime449.45scanNumNApre,1979,6
met_3971,917,C42H84NO8P,[M + H]+,C42H84NO8P,0.978894472,31.29493899,31.29493899,0,7,0.883475081,-0.815590532,0.815590532,1.138562927,762.6016,321.29,2070_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime321.29scanNumNApre,2070,1
met_3980,506,C46H88NO8P,[M + H]+,C46H88NO8P,1,15.34524611,15.34524611,0,8,0.991351351,-1.829737256,1.829737256,2.293228786,814.6339,349.13,2724_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime349.13scanNumNApre,2724,3
met_40,585,C44H80NO9P,[M + H]+,C44H80NO9P,0.999497487,33.80884148,33.80884148,0,8,0.724952835,-1.7737824,1.7737824,1.945710316,798.5659,160.19,2517_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime160.19scanNumNApre,2517,1
met_4013,751,C41H71NO4,[M + H]+,C41H71NO4,0.994472362,96.22194181,96.22194181,0,22,0.902515057,-2.97313076,2.97313076,1.889038914,642.5468,426.91,285_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime426.91scanNumNApre,285,3
met_4028,920,C40H80NO8P,[M + H]+,C40H80NO8P,0.978894472,17.85389915,17.85389915,0,8,0.981592511,-2.622695201,2.622695201,2.271254491,734.5711,266.14,1760_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime266.14scanNumNApre,1760,1
met_4030,557,C34H65NO2,[M + H]+,C34H65NO2,1,6.766795406,6.766795406,0,2,0.143678161,0.111290096,0.111290096,2.100301857,520.5099,172.51,2773_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime172.51scanNumNApre,2773,1
met_4059,1888,C45H89NO4,[M + H]+,C45H89NO4,0.379396985,1,1,0,1,0,NaN,NaN,1.076948913,708.6872,446.48,1555_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime446.48scanNumNApre,1555,1
met_4076,149,C52H101NO6,[M + H]+,C52H101NO6,1,96.77364926,96.77364926,0,27,0.981758312,-2.461182497,2.461182497,2.071766403,836.7719,531.27,2987_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime531.27scanNumNApre,2987,2
met_4084,347,C44H87NO4,[M + H]+,C44H87NO4,1,56.12939826,56.12939826,0,10,0.695225346,-2.729388839,2.851014672,2.178414066,694.6723,505.81,1461_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime505.81scanNumNApre,1461,2
met_4100,333,C39H72O3,[M + H]+,C39H72O3,1,58.39868561,58.39868561,0,17,0.824386095,-2.342645166,2.342645166,1.997066795,589.5566,356.01,3761_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime356.01scanNumNApre,3761,1
met_4112,1209,C32H26I2N2O7S,[M + H]+,C32H26I2N2O7S,0.886934673,47.03769716,47.03769716,0,8,0.494679621,-1.759968251,1.759968251,-3.697461107,836.9592,168.41,2989_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime168.41scanNumNApre,2989,4
met_4118,1027,C37H73NO4,[M + H]+,C37H73NO4,0.959296482,9.886932857,9.886932857,0,3,0.356995582,-0.837596316,0.837596316,1.783102803,596.5623,347.97,3980_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime347.97scanNumNApre,3980,1
met_4162,250,C45H89NO4,[M + H]+,C45H89NO4,1,77.08305751,77.08305751,0,11,0.732119254,-3.96959852,3.96959852,2.064688715,708.6879,502.57,1554_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime502.57scanNumNApre,1554,2
met_4189,394,C48H71NO5,[M + H]+,C48H71NO5,1,43.9789106,43.9789106,0,7,0.481458202,-1.859910121,1.859910121,-1.213166396,742.5396,288.54,1827_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime288.54scanNumNApre,1827,4
met_4193,826,C20H35NO,[M + H]+,C20H35NO,0.988944724,0.690609677,0.690609677,0,1,0,-3.399498987,3.399498987,0.192007519,306.2792,84.94,4875_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime84.94scanNumNAprec,4875,3
met_4207,2,C43H71NO5,[M + H]+,C43H71NO5,1,228.7869487,228.7869487,0,29,0.710206367,-2.130772197,2.130772197,3.954586185,682.5432,281.45,1383_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime281.45scanNumNApre,1383,1
met_4208,722,C40H78NO8P,[M + H]+,C40H78NO8P,0.995979899,38.5688644,38.5688644,0,8,0.933415099,-1.734200381,1.734200381,2.345845345,732.5555,238.81,1745_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime238.81scanNumNApre,1745,2
met_4211,976,C56H84,[M + Na]+,C56H84,0.969849246,6,6,0,1,0,NaN,NaN,-3.36485425,779.6439,315.13,2276_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime315.13scanNumNApre,2276,3
met_4221,1710,C31H54N5O6P,[M + H]+,C31H54N5O6P,0.502512563,7.722854561,7.722854561,0,3,0.317329826,-0.712708001,1.574484141,-1.03706397,624.3878,131.01,4810_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime131.01scanNumNApre,4810,1
met_4243,633,C37H66O4,[M + H]+,C37H66O4,0.998994975,7.283120237,7.283120237,0,3,0.050616836,-3.408323764,3.408323764,1.238837238,575.5041,272.86,3453_fused_mgf_07a154d9f255adcda0399b56f2915da8_msLevel2retentionTime272.86scanNumNApre,3453,3
