UniqueID,rank,molecularFormula,adduct,precursorFormula,ZodiacScore,SiriusScore,TreeScore,IsotopeScore,numExplainedPeaks,explainedIntensity,medianMassErrorFragmentPeaks_ppm_,medianAbsoluteMassErrorFragmentPeaks_ppm_,massErrorPrecursor_ppm_,ionMass,retentionTimeInSeconds,id,ms2_id,num_strains_sig
met_350,112,C10H19N5O3,[M + H]+,C10H19N5O3,1,44.13233509,44.13233509,0,10,0.897407813,-3.164316264,3.164316264,0.1320128,258.1561,494.53,566_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime494.53scanNumNApre,566,0
met_397,206,C10H17N3O6,[M + H]+,C10H17N3O6,1,29.94852459,29.94852459,0,8,1,-2.84636576,2.84636576,0.319731266,276.1191,523.03,610_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime523.03scanNumNApre,610,0
met_405,512,C15H26N4O6,[M + H]+,C15H26N4O6,0.902512563,14.804881,14.804881,0,4,1,-2.090138397,2.090138397,-2.25785866,359.1917,545.23,9_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime545.23scanNumNApre,9,0
met_406,704,C23H22O14,[M + H]+,C23H22O14,0.2,6,6,0,1,0,NaN,NaN,1.65962303,523.1091,432.21,198_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime432.21scanNumNApre,198,0
met_411,559,C12H22FN5O2,[M + H]+,C12H22FN5O2,0.786432161,14.79007294,14.79007294,0,6,0.897592404,-5.212200315,5.212200315,-0.449770235,288.1829,530.41,636_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime530.41scanNumNApre,636,0
met_412,119,C9H15N3O6,[M + H]+,C9H15N3O6,1,43.24598264,43.24598264,0,13,0.98398488,-3.429576394,3.429576394,0.52783694,262.1035,543.28,582_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime543.28scanNumNApre,582,0
met_416,442,C8H14O7,[M + K]+,C8H14O7,0.978894472,18.63910546,18.63910546,0,4,0.903019213,-4.924725971,4.924725971,1.873722059,261.0376,524.2,574_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime524.2scanNumNAprec,574,0
met_429,484,C17H24O,[M + Na]+,C17H24O,0.947236181,35.17947811,35.17947811,0,8,0.956165743,-2.179705741,2.179705741,-0.135074424,267.1719,55.21,597_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime55.21scanNumNAprec,597,0
met_473,371,C18H35NO6,[M + H]+,C18H35NO6,0.99798995,19.69077271,19.69077271,0,7,0.983416138,-1.263517281,1.263517281,0.236596302,362.2538,56.47,20_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime56.47scanNumNAprec,20,0
met_478,75,C9H12N4O2,[M + H]+,C9H12N4O2,1,55.3796739,55.3796739,0,9,0.706048615,-3.893333737,4.323372735,0.946535613,209.1035,117.79,451_fused_mgf_43645f86fcc5949dc4fe927fb12ee296_msLevel2retentionTime117.79scanNumNApre,451,0
